"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"MODIFIER OF SNC1","MOS1","General","Positive","LD [no data under SD]","Single mutant: mos1 single mutant is late flowering under LD conditions. ( No data under SD conditions.). [Bao et al., 2014][Li et al., 2010] Remarks: MOS1 interacts with SUF4, a regulator of FLC expression. Mos1 single mutant has increased FLC expression levels. [Bao et al., 2014]","AT4G24680","General processes & autonomous pathway","Li Y et al., 2010, Plant Physiol.Li Y et al., 2011, Plant Signal BehavBao Z et al., 2014, Nat Commun"
"MORF RELATED GENE1","MRG1","General","Positive","LD only","Single mutant: mrg1 single mutant does not display any flowering-time phenotype. [Bu et al., 2014][Xu et al., 2014] Multiple mutant: mrg1;mrg2 multiple mutant is late flowering under LD conditions only. [Bu et al., 2014][Xu et al., 2014]","AT4G37280","Time-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Xu Y et al., 2014, Nucleic Acids Res.Bu Z et al., 2014, PLoS Genet."
"MORF RELATED GENE2","MRG2","General","Positive","LD only","Single mutant: mrg2 single mutant does not display any flowering-time phenotype. [Bu et al., 2014] Multiple mutant: mrg1;mrg2 multiple mutant is late flowering under LD conditions only. [Bu et al., 2014] Remarks: MRG2 binds to the FT promoter in a H3K4me3/H3K36me3- and CO-dependent manner. [Bu et al., 2014]","AT1G02740","Time-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Xu Y et al., 2014, Nucleic Acids Res.Bu Z et al., 2014, PLoS Genet."
"MULTICOPY SUPRESSOR OF IRA1","MSI1","General","Positive","SD and LD","Single mutant : msi1 single mutant is lethal but partially complemented mutant is late flowering under both SD and LD conditions. [Bouveret et al., 2006][Steinbach et al., 2014] Overexpressor : MSI1 overexpressor is early flowering under LD conditions. ( No data available under SD conditions.) [Bouveret et al., 2006] Remarks : MSI1 is a subunit of the PRC2 complex, which is involved in the negative regulation of FLC expression. MSI1 also seems to regulate chromatin modifications [H3K4 dimethylation and H3K9 acetylation] at the SOC1 locus. [Bouveret et al., 2006]","AT5G58230","Photoperiod pathwayTime-course regulation of photoperiodic pathwayMains targets of ABC(E)genesFLC regulation through protein complexesGeneral processes & autonomous pathway","Hennig L et al., 2003, DevelopmentBouveret R et al., 2006, DevelopmentDerkacheva M et al., 2013, EMBO J.Steinbach Y et al., 2014, Front Plant Sci"
"MYB DOMAIN PROTEIN 30","MYB30","General","Positive","SD and LD","Overexpressor: Overexpression of MYB30 in the phloem leads to early flowering under both SD and LD conditions. [Liu et al., 2014] Single mutant: myb30 single mutant does not display any flowering-time phenotype. [Liu et al., 2014]","AT3G28910","General processes & autonomous pathway","Daniel X et al., 1999, Plant J.Froidure S et al., 2010, Proc. Natl. Acad. Sci. U.S.A.Canonne J et al., 2011, Plant CellZheng Y et al., 2012, Proc. Natl. Acad. Sci. U.S.A.Marino D et al., 2013, Nat CommunLiu L et al., 2014, PLoS ONE"
"MYB-RELATED PROTEIN 1","MYR1","Photoperiodism, light perception and  signaling","Negative","SD and LD","Single mutant: myr1 single mutant does not display any flowering-time phenotype. [Zhao et al., 2011] Multiple mutant: myr1;myr2 multiple mutant is early flowering under both SD and LD conditions. [Zhao et al., 2011] Remarks: The ealry-flowering phenotype is stronger at lower light intensities. [Zhao et al., 2011] Remarks: ft mutation supresses the early-flowering phenotype of the myr1;myr2 multiple mutant. [Zhao et al., 2011] Remarks: myr1;myr2 multiple mutant also display other developmental defects, such as an increased leaf angle and a delayed bud outgrowth. Those phenotypes are not suprresed in ft mutant. MYR1 and MYR2 seem to be regulated through PHYB signaling. [Zhao et al., 2011]","AT5G18240","Photoperiod pathway","Zhao C et al., 2011, Plant J.Zhao C et al., 2013, Plant Signal Behav"
"MYB-RELATED PROTEIN 2","MYR2","Photoperiodism, light perception and  signaling","Negative","SD and LD","Single mutant: myr1 single mutant does not display any flowering-time phenotype. [Zhao et al., 2011] Multiple mutant: myr1;myr2 multiple mutant is early flowering under both SD and LD conditions. [Zhao et al., 2011] Remarks: The ealry-flowering phenotype is stronger at lower light intensities. [Zhao et al., 2011] Remarks: ft mutation supresses the early-flowering phenotype of the myr1;myr2 multiple mutant. [Zhao et al., 2011] Remarks: myr1;myr2 multiple mutant also display other developmental defects, such as an increased leaf angle and a delayed bud outgrowth. Those phenotypes are not suprresed in ft mutant. MYR1 and MYR2 seem to be regulated through PHYB signaling. [Zhao et al., 2011]","AT3G04030","Photoperiod pathway","Zhao C et al., 2011, Plant J.Zhao C et al., 2013, Plant Signal Behav"
"NIGHT LIGHT-INDUCIBLE AND CLOCK-REGULATED 1","LNK1","Circadian Clock","Positive","LD only","Multiple mutant: lnk1;knk2 double mutant is late flowering under LD conditions only. [Rugnone et al., 2013] Single mutant: lnk1 single mutant does not display any flowering-time phenotype [Rugnone et al., 2013]","AT5G64170","Circadian clock overview","Rugnone M L et al., 2013, Proc. Natl. Acad. Sci. U.S.A.Xie Q et al., 2014, Plant CellMizuno T et al., 2014, Plant Cell Physiol.Mizuno T et al., 2014, Plant Signal Behav"
"NIGHT LIGHT-INDUCIBLE AND CLOCK-REGULATED 2","LNK2","Circadian Clock","Positive","LD only","Multiple mutant: lnk1;knk2 double mutant is late flowering under LD conditions only. [Rugnone et al., 2013] Single mutant: lnk1 single mutant does not display any flowering-time phenotype [Rugnone et al., 2013]","AT3G54500","Circadian clock overview","Rugnone M L et al., 2013, Proc. Natl. Acad. Sci. U.S.A.Xie Q et al., 2014, Plant Cell"
"NODULIN HOMEOBOX","AtNDX","General","Positive","LD [no data under SD]","Remarks: ATNDX was originally identified in a screen for modification of COOLAIR (antisense FLC transcript) expression. atndx single mutant shows reduced COOLAIR expression. ATNDX is involved in the stablilization of the R-loop that represses the transcription of COOLAIR. [Sun et al., 2013] Single mutant: atndx single mutant is late flowering under LD conditions. ( No data under SD conditions.) [Sun et al., 2013]","AT4G03090","VernalizationGeneral processes & autonomous pathway","Mukherjee K et al., 2009, Mol. Biol. Evol.Sun Q et al., 2013, Science"
"NUCLEAR FACTOR Y SUBUNIT A1, HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 2A","NF-YA1, HAP2B","Photoperiodism, light perception and  signaling","Negative","LD only","Single mutant: nf-ya1 single mutant is lethal. [Wenkel et al., 2006] Overexpressor: NF-YA1 overexpressor is late flowering under LD conditions only. [Wenkel et al., 2006] Remarks: Overexpressing lines shows reduced FT expression levels. [Wenkel et al., 2006]","AT5G12840","Photoperiod pathway","Wenkel S et al., 2006, Plant CellLi Y et al., 2013, PLoS ONE"
"NUCLEAR FACTOR Y SUBUNIT A4","NF-YA4","Photoperiodism, light perception and  signaling","Negative","LD only","Overexpressor: NF-YA4 overexpressor is late flowering under LD conditions only. [Wenkel et al., 2006] Single mutant: NF-YA4 single mutant does not display any flowering-time phenotype. [Wenkel et al., 2006]","AT2G34720","Hormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Wenkel S et al., 2006, Plant CellLiu J et al., 2010, Plant Cell"
"NUCLEAR FACTOR Y, SUBUNIT B1, HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3A","NF-YB1, HAP3A","Photoperiodism, light perception and  signaling","Negative","LD only","Overexpressor: NF-YB1 overexpressor is late flowering under LD conditions only. (The late flowering-time phenotype is stronger in Ler than Col-0 background. ) [Wenkel et al., 2006] Remarks: NF-YB1 overexpressing lines have reduced FT expression levels. [Wenkel et al., 2006]","AT2G38880","Hormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Wenkel S et al., 2006, Plant CellNelson D E et al., 2007, Proc. Natl. Acad. Sci. U.S.A.Günl M et al., 2009, BMC Plant Biol.Ballif J et al., 2011, Plant Physiol. Biochem."
"NUCLEAR FACTOR Y, SUBUNIT B2 , HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3B","NF-YB2, HAP3B","Photoperiodism, light perception and  signaling","Positive","LD only","Single mutant: nf-yb2 single mutant is slighlty late flowering under LD conditions only. [Kumimoto et al., 2008][Hou et al., 2014] Overexpressor: NF-YB2 overexpressor is early flowering under LD conditions only. [Kumimoto et al., 2008] Multiple mutant: nf-yb2 and nf-yb3 mutations show additive effects and supress the early flowering of the SUC2:CO transgenic line. [Kumimoto et al., 2008][Hou et al., 2014]","AT5G47640","Hormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Cai X et al., 2007, Plant Physiol.Kumimoto R W et al., 2008, PlantaCao S et al., 2014, Plant Cell"
"NUCLEAR FACTOR Y, SUBUNIT B3, HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3C","NF-YB3, HAP3C","Photoperiodism, light perception and  signaling","Positive","LD only","Single mutant: nf-yb3 single mutant is late flowering under LD conditions only. [Kumimoto et al., 2008][Hou et al., 2014] Overexpressor: NF-YB3 overexpressor is early flowering under LD conditions only. [Kumimoto et al., 2008] Multiple mutant: nf-yb2 and nf-yb3 mutations show additive effects and supress the early flowering of the SUC2:CO transgenic line. [Kumimoto et al., 2008][Hou et al., 2014]","AT4G14540","Hormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Kumimoto R W et al., 2008, PlantaCao S et al., 2014, Plant CellSato H et al., 2014, Plant Cell"
"NUCLEAR FACTOR Y, SUBUNIT C3","NF-YC3","Photoperiodism, light perception and  signaling","Positive","LD only","Multiple mutant: nf-yc3;nf-yc4;nf-yc9 multiple mutant is late flowering under LD conditions only. [Kumimoto et al., 2010] Single mutant: nf-yc3 single mutant does not display any flowering-time phenotype. [Hou et al., 2014][Kumimoto et al., 2010] Remarks: NF-YC3 interacts with CONSTANS. [Kumimoto et al., 2010]","AT1G54830","Hormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Wenkel S et al., 2006, Plant CellKumimoto R W et al., 2010, Plant J.Cao S et al., 2014, Plant Cell"
"NUCLEAR FACTOR Y, SUBUNIT C4","NF-YC4","Photoperiodism, light perception and  signaling","Positive","LD only","Multiple mutant: nf-yc3;nf-yc4;nf-yc9 multiple mutant is late flowering under LD conditions only. [Kumimoto et al., 2010] Single mutant: nf-yc4 single mutant does not display any flowering-time phenotype. [Hou et al., 2014][Kumimoto et al., 2010] Remarks: NF-YC4 interacts with CONSTANS. [Kumimoto et al., 2010]","AT5G63470","Photoperiod pathway","Ben-Naim O et al., 2006, Plant J.Kumimoto R W et al., 2010, Plant J.Cao S et al., 2014, Plant Cell"
"NUCLEAR FACTOR Y, SUBUNIT C9 , HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 5C","NF-YC9, HAP5C","Photoperiodism, light perception and  signaling","Positive","LD only","Multiple mutant: nf-yc3;nf-yc4;nf-yc9 multiple mutant is late flowering under LD conditions only. [Kumimoto et al., 2010] Single mutant: nf-yc9 single mutant does not display any flowering-time phenotype. [Hou et al., 2014][Kumimoto et al., 2010] Remarks: NF-YC9 interacts with CONSTANS. [Kumimoto et al., 2010]","AT1G08970","Hormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Wenkel S et al., 2006, Plant CellBen-Naim O et al., 2006, Plant J.Kumimoto R W et al., 2010, Plant J.Cao S et al., 2014, Plant Cell"
"OVERLY TOLERANT TO SALT 1, UB-LIKE PROTEASE 1D","OTS1, ULP1D","General","Negative","SD and LD","Single mutant: ots2 single mutant does not display any flowering-time phenotype. [Conti et al., 2008] Multiple mutant: ots1;ots2 multiple mutant is early flowering under both SD and LD conditions. [Conti et al., 2008]","AT1G60220","General processes & autonomous pathway","Conti L et al., 2008, Plant Cell"
"OVERLY TOLERANT TO SALT 2","OTS2","General","Negative","SD and LD","Single mutant: ots1 single mutant does not display any flowering-time phenotype. [Conti et al., 2008] Multiple mutant: ots1;ots2 multiple mutant is early flowering under both SD and LD conditions. [Conti et al., 2008]","AT1G10570","General processes & autonomous pathway","Conti L et al., 2008, Plant Cell"
"PENNYWISE , REPLUMLESS , BELLRINGER","PNY, RPL, BLR","Flower development and meristem identity",,"None","Multiple mutant: pnypny;pnf multiple mutant has a much longer plastochron and develops inflorescences that fails to produce flowers. [Smith et al., 2004] Single mutant: pny single mutant shows some inflorescence defects. [Smith et al., 2004] Remarks: Normal flower development of pnf;pny double mutant can be restored by either overexpressing LEAFY or suppress TFL1 expression. [Kanrar et al., 2008][Jaeger et al., 2013]","AT5G02030","Mains targets of ABC(E)genes","Smith H M S et al., 2003, Plant CellSmith H M S et al., 2004, Curr. Biol.Kanrar S et al., 2008, Plant J.Ragni L et al., 2008, Plant CellKhan M et al., 2012, Plant Physiol."
"PERIANTHIA , TGACG SEQUENCE-SPECIFIC BINDING PROTEIN 8","PAN, TGA8","Flower development and meristem identity",,"None","Single mutant:Single mutant Overexpressor: Overexpressor Remarks: PAN overexpressor does not display any strong phenotype. [Chuang et al., 1999] Remarks: pan single mutant displays floral organ number defects. [Running et al., 1996]","AT1G68640","Mains targets of ABC(E)genes","Running M P et al., 1996, DevelopmentChuang C F et al., 1999, Genes Dev.Maier A T et al., 2009, DevelopmentLi S et al., 2009, Plant CellDas P et al., 2009, DevelopmentWynn A N et al., 2014, Front Plant Sci"
"PETAL LOSS","PTL","Flower development and meristem identity",,"None","Single mutant:Single mutant Overexpressor: Overexpressor Remarks: ptl single mutant is characterized by a decreased number of petals. [Brewer et al., 2004] Remarks: Remarks","AT5G03680","Mains targets of ABC(E)genes","Griffith M E et al., 1999, DevelopmentBrewer P B et al., 2004, DevelopmentLi X et al., 2008, Plant Mol. Biol.Lampugnani E R et al., 2012, Plant J.Kaplan-Levy R N et al., 2014, Plant J.OBrien M et al., 2015, J. Exp. Bot."
"PHOSPHOGLUCOMUTASE","PGM1","Sugar","Positive","SD only","Single mutant: pgm1 single mutant is late flowering under SD conditions only. ( pgm1 single mutant is perhaps also very slighlty early flowering under LD conditions.)[Yu et al., 2000][Matsoukas et al., 2013]","AT5G51820","Sugar pathway","Caspar T et al., 1985, Plant Physiol.Yu T S et al., 2000, Plant Physiol.Vitha S et al., 2000, Plant Physiol.Ciereszko I et al., 2005, J. Plant Physiol.Pal S K et al., 2013, Plant Physiol."
"PHOSPHOGLUCOSE ISOMERASE 1","PGI1","Sugar","Positive","SD only","Single mutant: pgi1 single mutant is late flowering under SD conditions. ( pgi1 single mutant is perhaps also very slighlty early flowering under LD conditions.) [Yu et al., 2000] Remarks: pgi1 late-flowering phenotype under SD can be complemented by the addition of sucrose in the medium. [Yu et al., 2000]","AT4G24620","Sugar pathway","Yu T S et al., 2000, Plant Physiol.Simkhada D et al., 2009, Mol. CellsKunz H et al., 2014, Plant Physiol."
"PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1","PIE1","General","Negative","SD and LD","Single mutant: pie1 single mutant is early flowering under both SD and LD conditions.[March-Díaz et al., 2007][Noh et al., 2003] Remarks: pie1 single mutant has reduced FLC expression levels. [Deal et al., 2007][Noh et al., 2003] Remarks: Remarks","AT3G12810","FLC regulation through protein complexesGeneral processes & autonomous pathway","Noh Y et al., 2003, Plant CellDeal R B et al., 2007, Plant CellMarch-Díaz R et al., 2007, Plant Physiol.Zilberman D et al., 2008, Nature"
